Stock_Code,Date,Mean_Sentiment_Score
ADANIPORTS,8/3/2022,0.104909091
ADANIPORTS,8/4/2022,0.24416875
ADANIPORTS,8/5/2022,0.133966667
ADANIPORTS,8/6/2022,0
ADANIPORTS,8/8/2022,0
ADANIPORTS,8/10/2022,-0.1531
APOLLOHOSP,5/20/2022,0.5574
APOLLOHOSP,5/22/2022,0.296
APOLLOHOSP,5/25/2022,0
APOLLOHOSP,5/26/2022,0.2997
APOLLOHOSP,5/27/2022,0.5784
APOLLOHOSP,5/30/2022,0.5574
APOLLOHOSP,5/31/2022,0
APOLLOHOSP,6/1/2022,0.4019
APOLLOHOSP,6/2/2022,0.210033333
APOLLOHOSP,6/3/2022,0.395466667
APOLLOHOSP,6/5/2022,-0.7146
APOLLOHOSP,6/10/2022,0.34895
APOLLOHOSP,6/13/2022,0.296
APOLLOHOSP,6/14/2022,0.4019
APOLLOHOSP,6/15/2022,0.3404
APOLLOHOSP,6/16/2022,0.296
APOLLOHOSP,6/19/2022,-0.6249
APOLLOHOSP,6/20/2022,0.2633
APOLLOHOSP,6/21/2022,0.4477
APOLLOHOSP,6/22/2022,0.296
APOLLOHOSP,6/23/2022,0
APOLLOHOSP,6/24/2022,0.743
APOLLOHOSP,6/27/2022,0.581433333
APOLLOHOSP,6/28/2022,0.5994
APOLLOHOSP,6/29/2022,0.50065
ASIANPAINT,6/20/2022,0.5994
ASIANPAINT,6/21/2022,0
ASIANPAINT,6/22/2022,0.6908
ASIANPAINT,6/23/2022,0.5994
ASIANPAINT,6/27/2022,0.161216667
ASIANPAINT,6/28/2022,0.065833333
ASIANPAINT,6/29/2022,-0.40835
ASIANPAINT,6/30/2022,0
ASIANPAINT,7/4/2022,0
ASIANPAINT,7/5/2022,0.572533333
ASIANPAINT,7/6/2022,0.6908
ASIANPAINT,7/12/2022,0.6908
ASIANPAINT,7/13/2022,0.4019
ASIANPAINT,7/16/2022,-0.2732
ASIANPAINT,7/18/2022,0.5994
ASIANPAINT,7/19/2022,0
ASIANPAINT,7/24/2022,0
ASIANPAINT,7/25/2022,0
ASIANPAINT,7/26/2022,0.229528571
ASIANPAINT,7/27/2022,0
ASIANPAINT,7/28/2022,0
ASIANPAINT,7/29/2022,0
ASIANPAINT,8/2/2022,0.3062
ASIANPAINT,8/3/2022,0.5574
AXISBANK,4/12/2022,0
AXISBANK,4/25/2022,-0.5859
AXISBANK,4/26/2022,0.5994
AXISBANK,4/28/2022,0
AXISBANK,4/29/2022,0.20095
AXISBANK,5/2/2022,0.1531
AXISBANK,5/5/2022,0.2023
AXISBANK,5/6/2022,0.4019
AXISBANK,5/7/2022,0
AXISBANK,5/11/2022,0.4019
AXISBANK,5/15/2022,0
AXISBANK,5/24/2022,0
AXISBANK,5/25/2022,0
AXISBANK,6/8/2022,0
AXISBANK,6/20/2022,0
AXISBANK,6/27/2022,0.11315
AXISBANK,6/29/2022,0.4019
AXISBANK,6/30/2022,0.4019
AXISBANK,7/6/2022,0
AXISBANK,7/7/2022,0.1027
AXISBANK,7/8/2022,0
AXISBANK,7/13/2022,-0.2023
AXISBANK,7/14/2022,0.4019
AXISBANK,7/19/2022,0.5994
AXISBANK,7/24/2022,0
AXISBANK,7/25/2022,0
AXISBANK,8/3/2022,0
AXISBANK,8/4/2022,0.2263
BAJAJ-AUTO,6/22/2022,0
BAJAJ-AUTO,6/23/2022,0
BAJAJ-AUTO,6/24/2022,0.247666667
BAJAJ-AUTO,6/26/2022,0
BAJAJ-AUTO,6/27/2022,0.16454
BAJAJ-AUTO,6/28/2022,0.26335
BAJAJ-AUTO,6/29/2022,0
BAJAJ-AUTO,6/30/2022,0.4019
BAJAJ-AUTO,7/1/2022,-0.296
BAJAJ-AUTO,7/3/2022,0.296
BAJAJ-AUTO,7/4/2022,-0.0326
BAJAJ-AUTO,7/5/2022,0
BAJAJ-AUTO,7/6/2022,0.2263
BAJAJ-AUTO,7/8/2022,0.2263
BAJAJ-AUTO,7/13/2022,0.296
BAJAJ-AUTO,7/14/2022,0.3612
BAJAJ-AUTO,7/18/2022,0.296
BAJAJ-AUTO,7/23/2022,-0.1027
BAJAJ-AUTO,7/25/2022,0
BAJAJ-AUTO,7/26/2022,0
BAJAJ-AUTO,7/27/2022,0.148
BAJAJ-AUTO,7/29/2022,0.5574
BAJAJFINSV,6/13/2022,0.207533333
BAJAJFINSV,6/15/2022,0.4019
BAJAJFINSV,6/17/2022,0.4019
BAJAJFINSV,6/21/2022,0.5994
BAJAJFINSV,6/23/2022,0
BAJAJFINSV,6/26/2022,0.4939
BAJAJFINSV,6/27/2022,0.4588
BAJAJFINSV,6/28/2022,0.5994
BAJAJFINSV,6/29/2022,0.06435
BAJAJFINSV,6/30/2022,0.176633333
BAJAJFINSV,7/1/2022,0.0998
BAJAJFINSV,7/5/2022,0.4019
BAJAJFINSV,7/6/2022,0.4588
BAJAJFINSV,7/7/2022,0
BAJAJFINSV,7/11/2022,0.1591
BAJAJFINSV,7/12/2022,0.1779
BAJAJFINSV,7/24/2022,0
BAJAJFINSV,7/25/2022,0
BAJAJFINSV,7/26/2022,0.370766667
BAJAJFINSV,7/27/2022,0
BAJAJFINSV,7/28/2022,0.328671429
BAJAJFINSV,7/29/2022,0.4267
BAJFINANCE,7/1/2022,0.133966667
BAJFINANCE,7/3/2022,0.0258
BAJFINANCE,7/4/2022,0.296
BAJFINANCE,7/5/2022,0
BAJFINANCE,7/6/2022,0.305866667
BAJFINANCE,7/11/2022,0.4588
BAJFINANCE,7/12/2022,0.4019
BAJFINANCE,7/14/2022,0.17
BAJFINANCE,7/15/2022,0.4019
BAJFINANCE,7/18/2022,0
BAJFINANCE,7/19/2022,0
BAJFINANCE,7/21/2022,0.5106
BAJFINANCE,7/24/2022,0
BAJFINANCE,7/26/2022,0.2787
BAJFINANCE,7/27/2022,0.1468
BAJFINANCE,7/28/2022,0.201642857
BAJFINANCE,7/29/2022,0.4267
BHARTIARTL,7/26/2022,0.09052
BHARTIARTL,7/27/2022,0.34255
BHARTIARTL,7/28/2022,0.2263
BHARTIARTL,7/29/2022,0.11315
BHARTIARTL,7/30/2022,0
BHARTIARTL,7/31/2022,0.2294
BHARTIARTL,8/1/2022,0.239542857
BHARTIARTL,8/2/2022,-0.29635
BHARTIARTL,8/3/2022,0
BHARTIARTL,8/4/2022,0
BHARTIARTL,8/5/2022,0.193266667
BHARTIARTL,8/8/2022,0.127266667
BPCL,2/10/2022,0.5994
BPCL,2/22/2022,-0.1115
BPCL,2/23/2022,0
BPCL,2/24/2022,0
BPCL,3/11/2022,0.5994
BPCL,3/22/2022,0.4817
BPCL,4/1/2022,0.5994
BPCL,4/19/2022,0
BPCL,4/20/2022,0.5994
BPCL,4/25/2022,0.4019
BPCL,5/18/2022,0.26495
