,Stock_FullName,Stock_Code,Sector,TickerTapePageUrl,TickerTapeApiUrl,InvestingUrl
0,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Industrials,https://tickertape.in/stocks/adani-ports-and-special-economic-zone-APSE/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/APSE?count=10&offset=0&types=news-article,opinion-article",
1,Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Health Care,https://tickertape.in/stocks/apollo-hospitals-enterprise-APLH/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/APLH?count=10&offset=0&types=news-article,opinion-article",
2,Axis Bank Ltd,AXISBANK,Financials,https://tickertape.in/stocks/axis-bank-AXBK/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/AXBK?count=10&offset=0&types=news-article,opinion-article",
3,Asian Paints Ltd,ASIANPAINT,Materials,https://tickertape.in/stocks/asian-paints-ASPN/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/ASPN?count=10&offset=0&types=news-article,opinion-article",
4,Bajaj Finserv Ltd,BAJAJFINSV,Financials,https://tickertape.in/stocks/bajaj-finserv-BJFS/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/BJFS?count=10&offset=0&types=news-article,opinion-article",
5,Bajaj Auto Ltd,BAJAJ-AUTO,Consumer Discretionary,https://tickertape.in/stocks/bajaj-auto-BAJA/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/BAJA?count=10&offset=0&types=news-article,opinion-article",
6,Bajaj Finance Ltd,BAJFINANCE,Financials,https://tickertape.in/stocks/bajaj-finance-BJFN/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/BJFN?count=10&offset=0&types=news-article,opinion-article",
7,Britannia Industries Ltd,BRITANNIA,Consumer Staples,https://tickertape.in/stocks/britannia-industries-BRIT/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/BRIT?count=10&offset=0&types=news-article,opinion-article",
8,Bharti Airtel Ltd,BHARTIARTL,Communication Services,https://tickertape.in/stocks/bharti-airtel-BRTI/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/BRTI?count=10&offset=0&types=news-article,opinion-article",
9,Bharat Petroleum Corporation Ltd,BPCL,Energy,https://tickertape.in/stocks/bharat-petroleum-corporation-BPCL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/BPCL?count=10&offset=0&types=news-article,opinion-article",
10,Cipla Ltd,CIPLA,Health Care,https://tickertape.in/stocks/cipla-CIPL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/CIPL?count=10&offset=0&types=news-article,opinion-article",
11,Coal India Ltd,COALINDIA,Materials,https://tickertape.in/stocks/coal-india-COAL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/COAL?count=10&offset=0&types=news-article,opinion-article",
12,Dr Reddy's Laboratories Ltd,DRREDDY,Health Care,https://tickertape.in/stocks/drreddys-laboratories-REDY/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/REDY?count=10&offset=0&types=news-article,opinion-article",
13,Divi's Laboratories Ltd,DIVISLAB,Health Care,https://tickertape.in/stocks/divis-laboratories-DIVI/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/DIVI?count=10&offset=0&types=news-article,opinion-article",
14,Eicher Motors Ltd,EICHERMOT,Industrials,https://tickertape.in/stocks/eicher-motors-EICH/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/EICH?count=10&offset=0&types=news-article,opinion-article",
15,Grasim Industries Ltd,GRASIM,Materials,https://tickertape.in/stocks/grasim-industries-GRAS/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/GRAS?count=10&offset=0&types=news-article,opinion-article",
16,Hindalco Industries Ltd,HINDALCO,Materials,https://tickertape.in/stocks/hindalco-industries-HALC/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/HALC?count=10&offset=0&types=news-article,opinion-article",
17,Housing Development Finance Corporation Ltd,HDFC,Financials,https://tickertape.in/stocks/housing-development-finance-corporation-HDFC/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/HDFC?count=10&offset=0&types=news-article,opinion-article",
18,HDFC Bank Ltd,HDFCBANK,Financials,https://tickertape.in/stocks/hdfc-bank-HDBK/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/HDBK?count=10&offset=0&types=news-article,opinion-article",
19,HDFC Life Insurance Company Ltd,HDFCLIFE,Financials,https://tickertape.in/stocks/hdfc-life-insurance-company-HDFL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/HDFL?count=10&offset=0&types=news-article,opinion-article",
20,HCL Technologies Ltd,HCLTECH,Information Technology,https://tickertape.in/stocks/hcl-technologies-HCLT/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/HCLT?count=10&offset=0&types=news-article,opinion-article",
21,Hindustan Unilever Ltd,HINDUNILVR,Consumer Staples,https://tickertape.in/stocks/hindustan-unilever-HLL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/HLL?count=10&offset=0&types=news-article,opinion-article",
22,Hero MotoCorp Ltd,HEROMOTOCO,Consumer Discretionary,https://tickertape.in/stocks/hero-motocorp-HROM/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/HROM?count=10&offset=0&types=news-article,opinion-article",
23,ICICI Bank Ltd,ICICIBANK,Financials,https://tickertape.in/stocks/icici-bank-ICBK/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/ICBK?count=10&offset=0&types=news-article,opinion-article",
24,ITC Ltd,ITC,Consumer Staples,https://tickertape.in/stocks/itc-ITC/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/ITC?count=10&offset=0&types=news-article,opinion-article",
25,Infosys Ltd,INFY,Information Technology,https://tickertape.in/stocks/infosys-INFY/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/INFY?count=10&offset=0&types=news-article,opinion-article",
26,Indusind Bank Ltd,INDUSINDBK,Financials,https://tickertape.in/stocks/indusind-bank-INBK/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/INBK?count=10&offset=0&types=news-article,opinion-article",
27,JSW Steel Ltd,JSWSTEEL,Materials,https://tickertape.in/stocks/jsw-steel-JSTL/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/JSTL?count=10&offset=0&types=news-article,opinion-article",
28,Kotak Mahindra Bank Ltd,KOTAKBANK,Financials,https://tickertape.in/stocks/kotak-mahindra-bank-KTKM/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/KTKM?count=10&offset=0&types=news-article,opinion-article",
29,Larsen & Toubro Ltd,LT,Industrials,https://tickertape.in/stocks/larsen-and-toubro-LART/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/LART?count=10&offset=0&types=news-article,opinion-article",
30,Mahindra and Mahindra Ltd,M&M,Consumer Discretionary,https://tickertape.in/stocks/mahindra-and-mahindra-MAHM/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/MAHM?count=10&offset=0&types=news-article,opinion-article",
31,Maruti Suzuki India Ltd,MARUTI,Consumer Discretionary,https://tickertape.in/stocks/maruti-suzuki-india-MRTI/news?checklist=basic&type=news,"https://api.tickertape.in/stocks/feed/MRTI?count=10&offset=0&types=news-article,opinion-article",
