Date,stock_code,Sentiment_Score
7/27/2022,ADANIPORTS,0.08
7/27/2022,ADANIPORTS,0
7/27/2022,ADANIPORTS,0.165151515
7/27/2022,ADANIPORTS,0.133333333
7/27/2022,ADANIPORTS,0.015625
7/27/2022,ADANIPORTS,0.033333333
7/27/2022,ADANIPORTS,0.183333333
7/27/2022,ADANIPORTS,0.318181818
7/27/2022,ADANIPORTS,0.032
7/27/2022,ADANIPORTS,0
7/27/2022,ADANIPORTS,0.015625
7/27/2022,ADANIPORTS,0
7/27/2022,APOLLOHOSP,0.08
7/27/2022,APOLLOHOSP,0.1
7/27/2022,APOLLOHOSP,0.165151515
7/27/2022,ASIANPAINT,0.08
7/27/2022,ASIANPAINT,0.7
7/27/2022,ASIANPAINT,0.1
7/27/2022,ASIANPAINT,0.165151515
7/27/2022,AXISBANK,0
7/27/2022,AXISBANK,0
7/27/2022,AXISBANK,0.391666667
7/27/2022,AXISBANK,0.1
7/27/2022,AXISBANK,0
7/27/2022,AXISBANK,0
7/27/2022,AXISBANK,0.08
7/27/2022,AXISBANK,0.165151515
7/27/2022,BAJAJ-AUTO,0.15
7/27/2022,BAJAJ-AUTO,0.08
7/27/2022,BAJAJ-AUTO,0.036111111
7/27/2022,BAJAJ-AUTO,-0.0625
7/27/2022,BAJAJ-AUTO,0.1
7/27/2022,BAJAJ-AUTO,0.15
7/27/2022,BAJAJ-AUTO,-0.0625
7/27/2022,BAJAJ-AUTO,0
7/27/2022,BAJAJ-AUTO,0
7/27/2022,BAJAJFINSV,0.022857143
7/27/2022,BAJAJFINSV,0.08
7/27/2022,BAJAJFINSV,0
7/27/2022,BAJAJFINSV,0.1
7/27/2022,BAJAJFINSV,0.015625
7/27/2022,BAJAJFINSV,0.015625
7/27/2022,BAJAJFINSV,0.3
7/27/2022,BAJAJFINSV,-0.16875
7/27/2022,BAJAJFINSV,-0.1
7/27/2022,BAJFINANCE,0.1
7/27/2022,BAJFINANCE,0
7/27/2022,BAJFINANCE,0.015625
7/27/2022,BAJFINANCE,0.08
7/27/2022,BAJFINANCE,0
7/27/2022,BAJFINANCE,-0.16875
7/27/2022,BAJFINANCE,0.015625
7/27/2022,BHARTIARTL,0.022857143
7/27/2022,BHARTIARTL,0.08
7/27/2022,BHARTIARTL,0.1
7/27/2022,BHARTIARTL,0.1
7/27/2022,BHARTIARTL,0
7/27/2022,BHARTIARTL,-0.16875
7/27/2022,BPCL,0.08
7/27/2022,BPCL,0.015625
7/27/2022,BPCL,0.1
7/27/2022,BPCL,0
7/27/2022,BPCL,0.015625
7/27/2022,BRITANNIA,0.0875
7/27/2022,BRITANNIA,-0.1625
7/27/2022,BRITANNIA,0.1
7/27/2022,BRITANNIA,0.08
7/27/2022,BRITANNIA,0.165151515
7/27/2022,CIPLA,0.08
7/27/2022,CIPLA,-0.104166667
7/27/2022,CIPLA,0.015625
7/27/2022,CIPLA,0.015625
7/27/2022,CIPLA,0.165151515
7/27/2022,CIPLA,0.015625
7/27/2022,CIPLA,-0.025
7/27/2022,COALINDIA,0
7/27/2022,COALINDIA,0.08
7/27/2022,COALINDIA,0
7/27/2022,COALINDIA,0
7/27/2022,COALINDIA,0.033333333
7/27/2022,DIVISLAB,0.08
7/27/2022,DIVISLAB,0.015625
7/27/2022,DIVISLAB,0
7/27/2022,DIVISLAB,0
7/27/2022,DIVISLAB,0.08
7/27/2022,DRREDDY,0
7/27/2022,DRREDDY,0.165151515
7/27/2022,DRREDDY,0
7/27/2022,DRREDDY,0.08
7/27/2022,DRREDDY,0
7/27/2022,EICHERMOT,0.015625
7/27/2022,EICHERMOT,0
7/27/2022,EICHERMOT,-0.16875
7/27/2022,GRASIM,0.015625
7/27/2022,GRASIM,0.153333333
7/27/2022,GRASIM,0.153333333
7/27/2022,GRASIM,0.25
7/27/2022,GRASIM,-0.05
7/27/2022,GRASIM,0.16
7/27/2022,GRASIM,0.033333333
7/27/2022,GRASIM,0.08
7/27/2022,HCLTECH,0.015625
7/27/2022,HCLTECH,0.022857143
7/27/2022,HCLTECH,0.133333333
7/27/2022,HCLTECH,0.165151515
7/27/2022,HCLTECH,0.08
7/27/2022,HDFC,0.103333333
7/27/2022,HDFC,0
7/27/2022,HDFC,0.7
7/27/2022,HDFC,-0.033333333
7/27/2022,HDFC,0.015625
7/27/2022,HDFC,0.153333333
7/27/2022,HDFC,0.153333333
7/27/2022,HDFC,0
7/27/2022,HDFC,0.4
7/27/2022,HDFC,0.1
7/27/2022,HDFC,0.111111111
7/27/2022,HDFC,0.15
7/27/2022,HDFC,0.015625
7/27/2022,HDFC,0
7/27/2022,HDFC,0.466666667
7/27/2022,HDFC,0.25
7/27/2022,HDFC,-0.1
7/27/2022,HDFC,0.015625
7/27/2022,HDFC,0.25
7/27/2022,HDFC,0.165151515
7/27/2022,HDFC,0.3
7/27/2022,HDFC,0
7/27/2022,HDFC,0.08
7/27/2022,HDFC,0
7/27/2022,HDFC,0
7/27/2022,HDFC,0
7/27/2022,HDFCBANK,0.015625
7/27/2022,HDFCBANK,0
7/27/2022,HDFCBANK,0
7/27/2022,HDFCBANK,0
7/27/2022,HDFCBANK,0.015625
7/27/2022,HDFCBANK,0.165151515
7/27/2022,HDFCBANK,0.165151515
7/27/2022,HDFCBANK,0
7/27/2022,HDFCBANK,0
7/27/2022,HDFCBANK,0.08
7/27/2022,HDFCBANK,0.015625
7/27/2022,HDFCLIFE,-0.2
7/27/2022,HDFCLIFE,-0.16875
7/27/2022,HDFCLIFE,0.015625
7/27/2022,HDFCLIFE,0.015625
7/27/2022,HDFCLIFE,-0.16875
7/27/2022,HDFCLIFE,0
7/27/2022,HDFCLIFE,0.08
7/27/2022,HEROMOTOCO,0
7/27/2022,HEROMOTOCO,-0.036931818
7/27/2022,HEROMOTOCO,-0.036931818
7/27/2022,HEROMOTOCO,0.015625
7/27/2022,HINDALCO,0.08
7/27/2022,HINDALCO,0.165151515
7/27/2022,HINDALCO,0.165151515
7/27/2022,HINDALCO,0.08
7/27/2022,HINDALCO,0.022857143
7/27/2022,HINDUNILVR,0
7/27/2022,HINDUNILVR,0.08
7/27/2022,HINDUNILVR,0.165151515
7/27/2022,ICICIBANK,0.015625
7/27/2022,ICICIBANK,0.015625
7/27/2022,ICICIBANK,0
7/27/2022,ICICIBANK,0.165151515
7/27/2022,ICICIBANK,0.08
7/27/2022,ICICIBANK,0
7/27/2022,INDUSINDBK,0.015625
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0.08
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0.015625
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0
7/27/2022,INFY,-1
7/27/2022,INFY,-0.7
